AS_ID	Gene_ID	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
CANT1_RI_414	CANT1	chr17	-	78996991	78997963	78996991	78997644	78997839	78997963	0.719977011494253	0.536222222222222	9.72583108985287e-09	-0.425119833760804	-0.183754789272031
DFFA_RI_425	DFFA	chr1	-	10460545	10463209	10460545	10461702	10463057	10463209	0.47483908045977	0.273111111111111	6.49474919230719e-12	-0.797950668168941	-0.201727969348659
BET1L_RI_523	BET1L	chr11	-	202923	205667	202923	205469	205610	205667	0.346655172413793	0.225925925925926	3.71857403158921e-10	-0.617651451623913	-0.120729246487867
ZNF226_RI_433	ZNF226	chr19	+	44165587	44165807	44165587	44165613	44165756	44165807	0.454701149425287	0.63137037037037	1.74391690963862e-08	0.47356790685854	0.176669220945083
FMO5_RI_70	FMO5	chr1	-	147224894	147225638	147224894	147225066	147225286	147225638	0.59232183908046	0.393777777777778	6.29682714668826e-09	-0.588999582366146	-0.198544061302682
USP20_RI_1062	USP20	chr9	+	129880112	129881838	129880112	129880289	129880466	129881838	0.439413793103448	0.584703703703704	1.34990133793286e-06	0.412125573490503	0.145289910600255
LRSAM1_RI_1097	LRSAM1	chr9	+	127451485	127452084	127451485	127451669	127451928	127452084	0.523873563218391	0.730148148148148	1.37553507211216e-10	0.478970559059717	0.206274584929757
ZNF154_RI_1004	ZNF154	chr19	-	57696274	57701145	57696274	57697841	57700987	57701145	0.691241379310345	0.804888888888889	9.31839116419037e-06	0.219600056579301	0.113647509578544
GCDH_RI_999	GCDH	chr19	+	12891486	12891974	12891486	12891522	12891830	12891974	0.614781609195402	0.433481481481481	1.53388363682975e-10	-0.504103646160473	-0.181300127713921
LINC-PINT_RI_1066	LINC-PINT	chr7	-	130944159	130945835	130944159	130944889	130945719	130945835	0.724034482758621	0.840333333333333	1.63680347646876e-10	0.214903303838444	0.116298850574713
DIS3L2_RI_567	DIS3L2	chr2	+	232335772	232337198	232335772	232335874	232336468	232337198	0.836505747126437	0.637074074074074	2.08572141944564e-05	-0.392914324466042	-0.199431673052363
CCPG1_RI_453	CCPG1	chr15	-	55355222	55360944	55355222	55356409	55359538	55360944	0.602402298850575	0.413925925925926	7.71268445839682e-14	-0.541354662073093	-0.188476372924649
CPT1B_RI_113	CPT1B	chr22	-	50568860	50569421	50568860	50569081	50569335	50569421	0.227609195402299	0.387074074074074	6.54399068348954e-13	0.766050836610706	0.159464878671775
CUTA_RI_151	CUTA	chr6	-	33417480	33418288	33417480	33417695	33418086	33418288	0.524747126436782	0.344	4.14991582913297e-12	-0.609213796281803	-0.180747126436782
TAF1C_RI_61	TAF1C	chr16	-	84181745	84182058	84181745	84181863	84181941	84182058	0.740770114942529	0.621740740740741	8.12377808870548e-07	-0.252712779497101	-0.119029374201788
LRTOMT_RI_988	LRTOMT	chr11	+	72094947	72096892	72094947	72095096	72095378	72096892	0.75151724137931	0.880111111111111	1.90019082468693e-07	0.227879467748975	0.128593869731801
UNC119_RI_1099	UNC119	chr17	-	28546706	28547849	28546706	28547409	28547676	28547849	0.589114942528736	0.469518518518519	4.05244018995486e-12	-0.327367085444295	-0.119596424010217
QSOX1_RI_357	QSOX1	chr1	+	180196261	180198034	180196261	180196599	180197332	180198034	0.697908045977012	0.838333333333333	4.35439789925832e-12	0.264487029899754	0.140425287356322
REC8_RI_834	REC8	chr14	+	24172024	24172608	24172024	24172365	24172466	24172608	0.847919540229885	0.745925925925926	1.62028364323452e-06	-0.184895001829487	-0.101993614303959
RAB24_RI_259	RAB24	chr5	-	177302127	177302496	177302127	177302178	177302396	177302496	0.443666666666667	0.556148148148148	3.80018008875759e-10	0.32599307747667	0.112481481481482
THYN1_RI_95	THYN1	chr11	-	134252839	134253366	134252839	134252916	134253226	134253366	0.431206896551724	0.559111111111111	8.85196852169162e-11	0.374754763496217	0.127904214559387
ARL6IP4_RI_202	ARL6IP4	chr12	+	122982468	122982913	122982468	122982538	122982619	122982913	0.235563218390805	0.416814814814815	8.89114452848224e-06	0.823292266474801	0.18125159642401
SNHG10_RI_736	SNHG10	chr14	-	95532911	95534872	95532911	95533061	95533692	95534872	0.684597701149425	0.831666666666667	2.10783204730403e-06	0.280748961882733	0.147068965517241
ST3GAL1_RI_1042	ST3GAL1	chr8	-	133475718	133476600	133475718	133476074	133476277	133476600	0.672091954022988	0.52637037037037	2.71248410187065e-12	-0.352580351220111	-0.145721583652618
AUP1_RI_175	AUP1	chr2	-	74528750	74529282	74528750	74528935	74529131	74529282	0.510103448275862	0.628259259259259	2.07554670840395e-08	0.300570175323124	0.118155810983397
NCF4_RI_447	NCF4	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094	0.431367816091954	0.607814814814815	6.04609070071526e-12	0.494713296863133	0.176446998722861
CASP1_RI_537	CASP1	chr11	-	105025509	105026356	105025509	105025600	105026225	105026356	0.730356321839081	0.883888888888889	2.44775294170701e-13	0.275264534898249	0.153532567049808
TMEM41B_RI_724	TMEM41B	chr11	-	9280654	9283593	9280654	9281041	9283370	9283593	0.662218390804598	0.817592592592593	2.53927767202051e-09	0.304075048374117	0.155374201787995
PSME1_RI_744	PSME1	chr14	+	24138473	24138967	24138473	24138568	24138735	24138967	0.566494252873563	0.674259259259259	1.61489104820739e-05	0.251242108522417	0.107765006385696
DNHD1_RI_8	DNHD1	chr11	+	6497584	6498961	6497584	6497667	6497770	6498961	0.685666666666667	0.544925925925926	9.03521164657466e-06	-0.331447256419102	-0.140740740740741
THYN1_RI_96	THYN1	chr11	-	134252839	134253366	134252839	134252916	134253298	134253366	0.498954022988506	0.665037037037037	1.90768249629891e-13	0.414527807006938	0.166083014048531
