AS_ID	Gene_ID	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
SLC30A7_RI_51	SLC30A7	chr1	+	100974809	100981755	100974809	100974902	100975218	100981755	0.885712643678161	0.784434782608696	5.6215580322098e-05	-0.175185206234077	-0.101277861069465
ELMOD3_RI_553	ELMOD3	chr2	+	85390137	85391752	85390137	85390265	85390759	85391752	0.25816091954023	0.453586956521739	6.36949091753117e-14	0.813108532654509	0.195426036981509
NXF1_RI_563	NXF1	chr11	-	62798538	62800486	62798538	62798575	62800376	62800486	0.575137931034483	0.426282608695652	6.4886689719421e-10	-0.432097790311036	-0.148855322338831
PML_RI_583	PML	chr15	+	74034477	74036394	74034477	74034530	74035171	74036394	0.98816091954023	0.858478260869565	3.98884422075888e-18	-0.202964398713498	-0.129682658670665
NAP1L1_RI_622	NAP1L1	chr12	-	76045382	76048464	76045382	76047718	76048392	76048464	0.46348275862069	0.569347826086957	1.96749146925117e-12	0.296794621254608	0.105865067466267
SAMD9L_RI_627	SAMD9L	chr7	-	93145384	93146040	93145384	93145532	93145908	93146040	0.952609195402299	0.826913043478261	2.08010735104785e-15	-0.204148848453198	-0.125696151924038
QKI_RI_629	QKI	chr6	+	163563419	163578596	163563419	163563719	163564666	163578596	0.748804597701149	0.575695652173913	2.03629926962843e-12	-0.379282976544598	-0.173108945527236
PRKD2_RI_638	PRKD2	chr19	-	46716130	46717127	46716130	46716535	46716814	46717127	0.928632183908046	0.815152173913044	1.45617878407362e-15	-0.188037872616844	-0.113480009995002
FLAD1_RI_706	FLAD1	chr1	+	154983293	154984066	154983293	154983397	154983841	154984066	0.553919540229885	0.282739130434783	2.66362737729552e-14	-0.970204869728275	-0.271180409795102
HLTF_RI_822	HLTF	chr3	-	149030116	149032372	149030116	149031363	149032200	149032372	0.527183908045977	0.810739130434783	1.45810133622559e-15	0.620931442955714	0.283555222388806
NAPEPLD_RI_882	NAPEPLD	chr7	-	103099575	103103554	103099575	103103122	103103423	103103554	0.646448275862069	0.858391304347826	1.00395923649027e-10	0.409100520837851	0.211943028485757
BCL2L11_RI_90	BCL2L11	chr2	+	111123732	111124139	111123732	111123869	111124049	111124139	0.514655172413793	0.652326086956522	4.89134252734705e-13	0.341987197877252	0.137670914542729
THUMPD1_RI_998	THUMPD1	chr16	-	20733665	20737286	20733665	20736358	20736859	20737286	0.763390804597701	0.590217391304348	1.49786147138984e-11	-0.371175376968562	-0.173173413293353
CREBZF_RI_325	CREBZF	chr11	-	85663523	85665138	85663523	85663601	85663814	85665138	0.779873563218391	0.637630434782609	3.00490329700761e-15	-0.290519754057059	-0.142243128435782
UBE2V1_RI_653	UBE2V1	chr20	-	50096482	50096820	50096482	50096534	50096671	50096820	0.944597701149425	0.835391304347826	1.79472798906422e-09	-0.17724789797606	-0.109206396801599
MAF_RI_708	MAF	chr16	-	79593847	79600725	79593847	79594553	79598784	79600725	0.387896551724138	0.710717391304348	2.45396889769457e-12	0.873604051749543	0.32282083958021
ATP6V0B_RI_590	ATP6V0B	chr1	+	43977025	43978300	43977025	43977216	43977980	43978300	0.228620689655172	0.395021739130435	8.43353996127633e-06	0.788976080844395	0.166401049475262
QKI_RI_630	QKI	chr6	+	163563419	163578596	163563419	163563719	163565945	163578596	0.443666666666667	0.294913043478261	4.89067868632271e-13	-0.589186533775063	-0.148753623188406
EEF1B2_RI_16	EEF1B2	chr2	+	206159593	206160059	206159593	206159684	206159912	206160059	0.804045977011494	0.67645652173913	2.57505574492959e-10	-0.249280789996095	-0.127589455272364
NIPBL_RI_873	NIPBL	chr5	+	37063789	37065819	37063789	37063978	37064526	37065819	0.527379310344828	0.375521739130435	8.35702150940082e-10	-0.489944545388208	-0.151857571214393
DCAF7_RI_690	DCAF7	chr17	+	63588999	63594281	63588999	63589237	63594202	63594281	0.709827586206897	0.858173913043478	1.41173622825069e-10	0.273801403090117	0.148346326836582
CLK1_RI_112	CLK1	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	0.455850574712644	0.337978260869565	2.03026414651136e-07	-0.431630540684371	-0.117872313843078
RANGRF_RI_33	RANGRF	chr17	+	8289257	8290091	8289257	8289414	8289502	8290091	0.494816091954023	0.35054347826087	8.34187316504114e-14	-0.497299024825356	-0.144272613693153
GMPPB_RI_511	GMPPB	chr3	-	49721475	49722147	49721475	49721883	49721964	49722147	0.797919540229885	0.62445652173913	3.21322345656355e-09	-0.353642150229873	-0.173463018490755
WTAP_RI_332	WTAP	chr6	+	159748190	159749421	159748190	159748369	159748589	159749421	0.747528735632184	0.872369565217391	1.57729821219777e-12	0.222810400065622	0.124840829585207
ZFAND2B_RI_870	ZFAND2B	chr2	+	219206783	219207042	219206783	219206845	219206969	219207042	0.829367816091954	0.69795652173913	5.8399915732533e-05	-0.24887489555389	-0.131411294352824
C15orf41_RI_851	C15orf41	chr15	+	36808323	36810260	36808323	36808489	36808903	36810260	0.621609195402299	0.797782608695652	4.3469003754362e-07	0.359987828114613	0.176173413293353
C18orf21_RI_762	C18orf21	chr18	+	35972624	35972907	35972624	35972805	35972884	35972907	0.728034482758621	0.535782608695652	6.29773975973629e-10	-0.442359031519018	-0.192251874062969
PLCD1_RI_519	PLCD1	chr3	-	38009903	38010275	38009903	38010053	38010130	38010275	0.726459770114943	0.527347826086957	1.85924778064688e-08	-0.462128063351246	-0.199111944027986
HCG18_RI_1076	HCG18	chr6	-	30287396	30294964	30287396	30292599	30294470	30294964	0.255655172413793	0.370108695652174	3.24430298743755e-08	0.5337498170382	0.114453523238381
CUTA_RI_153	CUTA	chr6	-	33417480	33418288	33417480	33417695	33417958	33418288	0.506643678160919	0.290326086956522	5.68972684354366e-09	-0.803297248626596	-0.216317591204398
P3H1_RI_111	P3H1	chr1	-	42746334	42747412	42746334	42746852	42747271	42747412	0.535402298850575	0.385695652173913	3.46843731065376e-08	-0.473160450465033	-0.149706646676662
DUSP22_RI_970	DUSP22	chr6	+	348768	351355	348768	348841	350821	351355	0.611942528735632	0.757391304347826	5.07930656714164e-09	0.307642690686615	0.145448775612194
P2RX7_RI_24	P2RX7	chr12	+	121177146	121177446	121177146	121177212	121177296	121177446	0.675494252873563	0.51595652173913	7.40548264323285e-08	-0.388693996347541	-0.159537731134433
CANT1_RI_414	CANT1	chr17	-	78996991	78997963	78996991	78997644	78997839	78997963	0.719977011494253	0.548391304347826	3.00046292193185e-10	-0.392745147779744	-0.171585707146427
DFFA_RI_425	DFFA	chr1	-	10460545	10463209	10460545	10461702	10463057	10463209	0.47483908045977	0.330021739130435	2.82461061082866e-10	-0.52487761678474	-0.144817341329335
BET1L_RI_523	BET1L	chr11	-	202923	205667	202923	205469	205610	205667	0.346655172413793	0.241586956521739	1.14016518291642e-12	-0.520958722548199	-0.105068215892054
ZNF226_RI_433	ZNF226	chr19	+	44165587	44165807	44165587	44165613	44165756	44165807	0.454701149425287	0.577782608695652	2.13519044419744e-06	0.345608128283682	0.123081459270365
FMO5_RI_70	FMO5	chr1	-	147224894	147225638	147224894	147225066	147225286	147225638	0.59232183908046	0.466282608695652	1.81370452966869e-06	-0.345176658339505	-0.126039230384808
GCDH_RI_999	GCDH	chr19	+	12891486	12891974	12891486	12891522	12891830	12891974	0.614781609195402	0.512413043478261	1.17115025847112e-05	-0.262766808399595	-0.102368565717141
BCKDK_RI_508	BCKDK	chr16	+	31111868	31112791	31111868	31112027	31112120	31112791	0.494563218390805	0.372086956521739	3.05860205559767e-06	-0.410515129945819	-0.122476261869065
DIS3L2_RI_567	DIS3L2	chr2	+	232335772	232337198	232335772	232335874	232336468	232337198	0.836505747126437	0.647173913043478	1.09223212767316e-07	-0.370221996891458	-0.189331834082959
CPT1B_RI_113	CPT1B	chr22	-	50568860	50569421	50568860	50569081	50569335	50569421	0.227609195402299	0.329108695652174	3.28488898706025e-10	0.532005301957679	0.101499500249875
CUTA_RI_151	CUTA	chr6	-	33417480	33418288	33417480	33417695	33418086	33418288	0.524747126436782	0.409021739130435	4.47549659860066e-08	-0.35944483808567	-0.115725387306347
TAF1C_RI_61	TAF1C	chr16	-	84181745	84182058	84181745	84181863	84181941	84182058	0.740770114942529	0.631521739130435	8.66635366842966e-08	-0.230193499450015	-0.109248375812094
C11orf49_RI_431	C11orf49	chr11	+	47161126	47162247	47161126	47161190	47161463	47162247	0.891770114942529	0.768826086956522	3.43130964401798e-05	-0.214014563898083	-0.122944027986007
ARL6IP4_RI_202	ARL6IP4	chr12	+	122982468	122982913	122982468	122982538	122982619	122982913	0.235563218390805	0.358630434782609	2.18632372678993e-06	0.606383636505898	0.123067216391804
